Time;Poland [POL] - GDP growth (annual %) [NY.GDP.MKTP.KD.ZG];Poland [POL] - GDP (current US$) [NY.GDP.MKTP.CD];Poland [POL] - GDP per capita (current US$) [NY.GDP.PCAP.CD];"Poland [POL] - GDP; PPP (current international $) [NY.GDP.MKTP.PP.CD]";"Poland [POL] - GDP per capita; PPP (current international $) [NY.GDP.PCAP.PP.CD]";European Union [EUU] - GDP growth (annual %) [NY.GDP.MKTP.KD.ZG];European Union [EUU] - GDP (current US$) [NY.GDP.MKTP.CD];European Union [EUU] - GDP per capita (current US$) [NY.GDP.PCAP.CD];"European Union [EUU] - GDP; PPP (current international $) [NY.GDP.MKTP.PP.CD]";"European Union [EUU] - GDP per capita; PPP (current international $) [NY.GDP.PCAP.PP.CD]"
2000;4.56098541;1.72219E+11;4501.454067;4.0838E+11;10674.18236;3.900529564;7.27632E+12;16947.59566;9.47906E+12;22078.09389
2001;1.258569461;1.90905E+11;4991.244358;4.25389E+11;11121.85163;2.175901488;7.39408E+12;17199.11868;9.96204E+12;23172.37906
2002;2.035863041;1.99072E+11;5207.171421;4.51281E+11;11804.26626;1.110687225;8.08407E+12;18760.98155;1.04221E+13;24186.92591
2003;3.498391213;2.17827E+11;5701.602212;4.69499E+11;12289.08262;0.908085735;9.93194E+12;22967.48785;1.06844E+13;24707.45413
2004;4.98284457;2.5511E+11;6681.386472;5.09876E+11;13353.75507;2.592609798;1.14191E+13;26307.60992;1.12264E+13;25863.67985
2005;3.506834614;3.06144E+11;8021.505743;5.30377E+11;13896.79338;1.924720108;1.19109E+13;27343.5635;1.16803E+13;26814.16278
2006;6.131136459;3.44622E+11;9035.410467;5.77892E+11;15151.36172;3.493715391;1.27139E+13;29092.70153;1.27272E+13;29123.05564
2007;7.061534634;4.29029E+11;11254.51739;6.40615E+11;16804.96406;3.155870585;1.47288E+13;33590.3808;1.36089E+13;31036.27266
2008;4.199981264;5.33609E+11;13996.02515;6.97829E+11;18303.35292;0.640724745;1.62978E+13;37049.56348;1.42931E+13;32492.25866
2009;2.832184053;4.39738E+11;11526.05589;7.34042E+11;19240.13434;-4.348509308;1.4764E+13;33483.37862;1.40289E+13;31816.34582
2010;2.934638181;4.75697E+11;12504.25019;7.94705E+11;20889.75531;2.225205901;1.45579E+13;32969.75465;1.45118E+13;32865.28773
2011;5.042187883;5.24383E+11;13776.61155;8.62452E+11;22658.37732;1.893600904;1.57656E+13;35768.28989;1.52036E+13;34493.26507
2012;1.545221571;4.95237E+11;13010.92339;8.97878E+11;23589.14757;-0.699883406;1.46421E+13;33170.5131;1.54341E+13;34964.60602
2013;0.856557081;5.15765E+11;13558.41406;9.25133E+11;24319.88029;-0.083821656;1.52945E+13;34564.11568;1.59576E+13;36062.68882
2014;3.836958494;5.39088E+11;14182.1375;9.62318E+11;25316.33154;1.597574257;1.56497E+13;35278.80769;1.64402E+13;37060.68946
2015;4.383298635;4.77111E+11;12560.05142;1.0189E+12;26822.66425;2.30705701;1.35525E+13;30484.52789;1.69908E+13;38218.56408
2016;2.953508842;4.70023E+11;12378.75944;1.06946E+12;28165.83655;1.977125986;1.3889E+13;31175.15052;1.80651E+13;40548.84183
2017;5.140017574;5.24646E+11;13815.6218;1.13765E+12;29958.12071;2.838481273;1.47649E+13;33089.22846;1.90345E+13;42657.74155
2018;5.945208477;5.88783E+11;15504.58048;1.21624E+12;32027.60273;2.065953;1.59808E+13;35751.21997;1.99595E+13;44651.97999
2019;4.449987879;5.96055E+11;15699.91135;1.32788E+12;34976.04445;1.805107055;1.56934E+13;35079.46915;2.12441E+13;47487.02288
2020;-2.020070734;5.99449E+11;15816.9894;1.33843E+12;35315.71726;-5.677580663;1.53694E+13;34330.36653;2.04708E+13;45725.1905
2021;6.847713362;6.79445E+11;17999.90995;1.43948E+12;38134.83339;5.392521025;1.71774E+13;38411.06278;2.18141E+13;48779.38244
2022;..;..;..;..;..;..;..;..;..;..
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Data from database: World Development Indicators;;;;;;;;;;
Last Updated: 05/10/2023;;;;;;;;;;
